[the, 72300]
[done, 424]
[am, 731]
[young, 600]
[going, 371]
[ever, 270]
[view, 174]
[cases, 444]
[business, 303]
[nothing, 578]
[subject, 185]
[land, 254]
[result, 386]
[next, 222]
[together, 256]
[action, 352]
[book, 88]
[thus, 136]
[position, 429]
[area, 162]
[true, 201]
[history, 268]
[sense, 103]
[death, 316]
[already, 478]
[whose, 180]
[matter, 365]
[became, 314]
[child, 170]
[five, 255]
[making, 214]
[problem, 69]
[help, 224]
[individual, 92]
[half, 301]
[full, 259]
[self, 210]
[various, 142]
[particular, 90]
[enough, 171]
[love, 476]
[century, 91]
[based, 56]
[further, 130]
[kind, 197]
[able, 199]
[face, 1122]
[free, 397]
[rate, 66]
[members, 155]
[along, 392]
[age, 132]
[terms, 136]
[type, 87]
[told, 477]
[held, 287]
[look, 513]
[conditions, 229]
[support, 103]
[economic, 79]
[knowledge, 70]
[experience, 98]
[using, 48]
[class, 69]
[asked, 777]
[money, 317]
[thing, 303]
[room, 959]
[al, 1]
[eyes, 936]
[show, 193]
[local, 179]
[real, 101]
[usually, 523]
[reason, 189]
[night, 383]
[quite, 475]
[open, 320]
[brought, 406]
[results, 222]
[white, 329]
[service, 209]
[especially, 398]
[whom, 476]
[city, 125]
[short, 214]
[problems, 62]
[word, 296]
[father, 488]
[shown, 113]
[policy, 101]
[began, 810]
[low, 131]
[force, 232]
[got, 277]
[mother, 289]
[saw, 598]
[language, 57]
[similar, 124]
[air, 223]
[seems, 134]
[field, 194]
[cause, 371]
[woman, 310]
[single, 171]
[required, 92]
[account, 169]
[gave, 440]
[care, 102]
[due, 249]
[greater, 142]
[party, 282]
[groups, 66]
[clear, 231]
[including, 79]
[production, 45]
[considered, 163]
[heart, 254]
[changes, 152]
[let, 383]
[total, 34]
[society, 161]
[although, 119]
[felt, 697]
[term, 132]
[evidence, 77]
[soon, 396]
[education, 51]
[perhaps, 143]
[material, 72]
[past, 223]
[near, 280]
[knew, 496]
[special, 141]
[method, 141]
[nor, 262]
[natural, 138]
[available, 37]
[probably, 137]
[analysis, 14]
[really, 243]
[amount, 92]
[company, 142]
[higher, 91]
[major, 64]
[increase, 114]
[research, 10]
[read, 208]
[students, 6]
[idea, 141]
[theory, 77]
[why, 330]
[national, 214]
[function, 55]
[section, 63]
[future, 124]
[surface, 277]
[provide, 47]
[hands, 447]
[says, 146]
[mean, 98]
[looked, 760]
[character, 167]
[close, 213]
[keep, 134]
[structure, 38]
[seemed, 695]
[received, 280]
[model, 13]
[believe, 174]
[community, 21]
[purpose, 117]
[act, 239]
[working, 54]
[specific, 37]
[moment, 486]
[tell, 443]
[toward, 305]
[influence, 132]
[countries, 54]
[black, 226]
[strong, 164]
[cost, 64]
[feet, 178]
[sometimes, 342]
[living, 133]
[growth, 202]
[personal, 88]
[return, 190]
[blood, 530]
[situation, 87]
[lower, 185]
[property, 135]
[third, 228]
[described, 151]
[provided, 82]
[market, 48]
[role, 42]
[ground, 170]
[written, 115]
[six, 163]
[forms, 252]
[difficult, 147]
[call, 188]
[areas, 40]
[non, 32]
[population, 87]
[generally, 90]
[turn, 184]
[court, 105]
[parts, 293]
[treatment, 344]
[feel, 159]
[turned, 502]
[energy, 44]
[according, 146]
[values, 7]
[practice, 95]
[attention, 188]
[trade, 202]
[food, 73]
[states, 416]
[la, 40]
[size, 184]
[story, 127]
[health, 115]
[effects, 70]
[longer, 232]
[main, 107]
[current, 71]
[program, 41]
[cent, 77]
[systems, 13]
[percent, 1]
[makes, 54]
[anything, 374]
[across, 218]
[sent, 318]
[alone, 336]
[late, 159]
[foreign, 153]
[basis, 40]
[likely, 78]
[hard, 173]
[heard, 636]
[movement, 327]
[play, 95]
[months, 129]
[activity, 131]
[particularly, 170]
[pressure, 221]
[son, 340]
[letter, 283]
[increased, 137]
[approach, 40]
[private, 89]
[paper, 172]
[art, 47]
[developed, 51]
[established, 122]
[continued, 289]
[simple, 136]
[below, 110]
[space, 65]
[latter, 129]
[rights, 153]
[office, 128]
[wife, 367]
[rest, 207]
[followed, 328]
[services, 37]
[hours, 166]
[poor, 120]
[seem, 116]
[lost, 222]
[respect, 77]
[studies, 4]
[church, 83]
[appear, 150]
[lines, 131]
[behind, 374]
[needs, 43]
[addition, 72]
[manner, 135]
[live, 128]
[works, 98]
[object, 103]
[related, 45]
[shows, 49]
[complete, 138]
[include, 34]
[test, 52]
[outside, 102]
[town, 171]
[physical, 59]
[condition, 338]
[relationship, 7]
[range, 39]
[capital, 136]
[points, 83]
[hundred, 229]
[patient, 382]
[carried, 281]
[ways, 52]
[produced, 126]
[plan, 156]
[taking, 297]
[modern, 43]
[understand, 410]
[persons, 119]
[sure, 123]
[military, 210]
[table, 295]
[building, 51]
[degree, 90]
[price, 44]
[questions, 153]
[beginning, 142]
[original, 89]
[cells, 130]
[simply, 91]
[truth, 114]
[twenty, 268]
[religious, 48]
[except, 151]
[doing, 178]
[difference, 46]
[beyond, 206]
[wanted, 213]
[leave, 284]
[passed, 365]
[friends, 147]
[patients, 55]
[activities, 24]
[rule, 117]
[involved, 105]
[direct, 134]
[authority, 100]
[management, 47]
[chapter, 17]
[towards, 81]
[obtained, 75]
[pay, 126]
[length, 63]
[door, 496]
[front, 358]
[income, 42]
[needed, 79]
[placed, 182]
[indeed, 96]
[morning, 332]
[run, 142]
[importance, 117]
[disease, 574]
[loss, 136]
[ten, 208]
[added, 298]
[appears, 108]
[series, 89]
[led, 196]
[decision, 58]
[kept, 251]
[bring, 152]
[answer, 203]
[report, 83]
[normal, 108]
[wrote, 149]
[methods, 81]
[stage, 106]
[voice, 462]
[writing, 68]
[fire, 264]
[species, 14]
[top, 42]
[quality, 19]
[published, 17]
[earlier, 33]
[significant, 39]
[source, 70]
[equal, 108]
[former, 177]
[issue, 99]
[average, 18]
[industry, 109]
[solution, 109]
[direction, 146]
[becomes, 245]
[lead, 133]
[culture, 37]
[organization, 39]
[friend, 280]
[design, 15]
[response, 21]
[books, 59]
[meaning, 115]
[associated, 191]
[hope, 147]
[expected, 126]
[cut, 193]
[factors, 24]
[extent, 98]
[earth, 116]
[presence, 216]
[workers, 38]
[observed, 131]
[ed, 12]
[types, 31]
[temperature, 101]
[forces, 173]
[looking, 476]
[note, 108]
[hold, 111]
[produce, 119]
[relations, 119]
[opinion, 212]
[determined, 63]
[behavior, 8]
[sea, 75]
[else, 200]
[performance, 16]
[gives, 88]
[spirit, 154]
[understanding, 76]
[standard, 45]
[reached, 220]
[paid, 105]
[ideas, 57]
[nearly, 165]
[region, 113]
[formed, 235]
[laws, 225]
[central, 60]
[parents, 42]
[limited, 67]
[elements, 68]
[events, 191]
[miles, 105]
[tax, 80]
[distance, 118]
[member, 50]
[middle, 167]
[move, 100]
[sound, 213]
[comes, 91]
[directly, 99]
[myself, 227]
[levels, 1]
[deep, 212]
[training, 16]
[red, 268]
[coming, 204]
[presented, 119]
[final, 63]
[schools, 24]
[consider, 92]
[fall, 119]
[success, 89]
[meet, 168]
[job, 11]
[effective, 27]
[product, 18]
[actually, 40]
[operation, 207]
[king, 120]
[larger, 99]
[met, 543]
[text, 25]
[cell, 12]
[appeared, 197]
[clearly, 128]
[applied, 205]
[follow, 115]
[expression, 321]
[everything, 397]
[existence, 64]
[meeting, 113]
[figure, 103]
[volume, 28]
[reading, 99]
[reported, 52]
[deal, 68]
[principle, 56]
[built, 76]
[potential, 2]
[immediately, 170]
[basic, 5]
[learning, 32]
[application, 76]
[strength, 182]
[international, 39]
[doubt, 152]
[million, 72]
[distribution, 54]
[instead, 116]
[wide, 103]
[discussion, 31]
[issues, 30]
[feeling, 360]
[peace, 206]
[included, 41]
[science, 59]
[follows, 67]
[throughout, 73]
[entire, 63]
[author, 25]
[date, 44]
[fine, 157]
[moral, 51]
[easily, 114]
[today, 81]
[instance, 50]
[products, 28]
[interests, 115]
[attempt, 76]
[relation, 137]
[hour, 156]
[individuals, 32]
[labor, 247]
[music, 56]
[ask, 243]
[mentioned, 66]
[big, 80]
[dead, 162]
[weight, 70]
[allowed, 86]
[places, 89]
[takes, 151]
[page, 52]
[concerned, 80]
[died, 81]
[mass, 85]
[die, 86]
[differences, 14]
[merely, 189]
[rules, 58]
[nation, 128]
[round, 549]
[tried, 224]
[circumstances, 106]
[complex, 25]
[proper, 47]
[born, 33]
[statement, 41]
[faith, 63]
[speak, 248]
[army, 754]
[numbers, 65]
[regard, 87]
[risk, 75]
[recent, 52]
[step, 138]
[supply, 83]
[list, 47]
[resources, 51]
[bad, 150]
[demand, 77]
[thinking, 136]
[legal, 49]
[herself, 339]
[giving, 185]
[gone, 233]
[costs, 8]
[base, 52]
[created, 62]
[scale, 45]
[road, 238]
[flow, 48]
[occur, 203]
[started, 96]
[measure, 93]
[talk, 283]
[acid, 61]
[positive, 43]
[ability, 14]
[lives, 58]
[week, 95]
[hear, 181]
[religion, 30]
[materials, 34]
[returned, 193]
[appropriate, 32]
[remain, 141]
[stood, 383]
[active, 93]
[oil, 32]
[certainly, 100]
[try, 82]
[dark, 179]
[considerable, 170]
[actual, 62]
[defined, 55]
[principles, 77]
[thousand, 259]
[frequently, 214]
[easy, 122]
[fear, 165]
[moved, 245]
[charge, 69]
[reference, 37]
[image, 7]
[remained, 231]
[share, 68]
[eye, 109]
[stand, 88]
[useful, 73]
[ready, 228]
[primary, 135]
[minutes, 146]
[constant, 73]
[project, 36]
[forward, 224]
[highly, 53]
[cultural, 1]
[content, 29]
[arms, 243]
[rise, 212]
[serious, 141]
[neither, 147]
[discussed, 31]
[literature, 15]
[desire, 94]
[finally, 122]
[write, 77]
[factor, 41]
[goods, 81]
[sort, 91]
[financial, 30]
[parties, 84]
[reasons, 62]
[sufficient, 75]
[river, 72]
[seven, 119]
[picture, 28]
[caused, 102]
[eight, 122]
[effort, 129]
[heat, 79]
[remains, 73]
[independent, 73]
[environment, 6]
[lived, 113]
[separate, 67]
[style, 18]
[rates, 46]
[chief, 334]
[wall, 187]
[decided, 149]
[lay, 291]
[noted, 17]
[status, 27]
[previous, 67]
[unit, 10]
[ago, 108]
[freedom, 163]
[choice, 46]
[record, 41]
[popular, 125]
[bed, 212]
[husband, 191]
[start, 55]
[processes, 34]
[essential, 92]
[relative, 24]
[task, 49]
[unless, 87]
[plant, 12]
[learn, 38]
[prepared, 134]
[functions, 22]
[lack, 33]
[wish, 242]
[cold, 253]
[pain, 286]
[north, 26]
[worked, 40]
[site, 32]
[variety, 83]
[allow, 79]
[animals, 40]
[fully, 69]
[pass, 152]
[duty, 136]
[student, 12]
[entirely, 87]
[cross, 79]
[girl, 165]
[des, 9]
[expressed, 134]
[employed, 156]
[completely, 95]
[learned, 99]
[key, 25]
[suggested, 69]
[security, 21]
[stock, 33]
[claim, 43]
[boy, 169]
[speech, 80]
[continue, 50]
[lot, 35]
[soul, 168]
[trying, 178]
[raised, 212]
[provides, 4]
[brother, 166]
[pattern, 7]
[changed, 134]
[purposes, 50]
[opportunity, 66]
[saying, 269]
[programs, 2]
[concept, 7]
[majority, 121]
[names, 29]
[showed, 149]
[additional, 26]
[heavy, 135]
[offered, 87]
[efforts, 101]
[construction, 23]
